web-scraper-order,web-scraper-start-url,course_link,course_link-href,skills,description,title
"1574262700-1205","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=27&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","AI Capstone Project with Deep LearningIBMCOURSEAdvanced LevelAdvanced","https://www.coursera.org/learn/ai-deep-learning-capstone","[]","","AI Capstone Project with Deep Learning"
"1574263406-1399","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=8&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Machine Learning With Big DataUniversity of California San DiegoCOURSE4.6(1,388)36kstudentsMixed LevelMixed","https://www.coursera.org/learn/big-data-machine-learning","[{""skills"":""Machine Learning Concepts""},{""skills"":""Knime""},{""skills"":""Machine Learning""},{""skills"":""Apache Spark""}]","","Machine Learning With Big Data"
"1574263413-1401","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=8&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Machine Learning Using SAS ViyaSASCOURSE4.7(30)2.3kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/machine-learning-sas","[]","","Machine Learning Using SAS Viya"
"1574263239-1355","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=12&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)Hebrew University of JerusalemCOURSE4.9(1,683)80kstudentsMixed LevelMixed","https://www.coursera.org/learn/build-a-computer","[{""skills"":""Logic Gate""},{""skills"":""Computer Architecture""},{""skills"":""Assembly Languages""},{""skills"":""Hardware Description Language (HDL)""}]","","Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)"
"1574263176-1337","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=14&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Excel to MySQL: Analytic Techniques for BusinessDuke UniversitySPECIALIZATION4.5(9,621)440kstudentsBeginner LevelBeginner","https://www.coursera.org/specializations/excel-mysql","[{""skills"":""Binary Classification""},{""skills"":""Data Analysis""},{""skills"":""Tableau Software""},{""skills"":""SQL""}]","","Excel to MySQL: Analytic Techniques for Business Specialization"
"1574262694-1203","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=27&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Recommender Systems CapstoneUniversity of MinnesotaCOURSE3.8(16)Mixed LevelMixed","https://www.coursera.org/learn/recommeder-systems-capstone","[]","","Recommender Systems Capstone"
"1574262831-1241","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=24&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Building Resilient Streaming Systems on Google Cloud Platform 日本語版Google CloudCOURSE4.8(12)Intermediate LevelIntermediate","https://www.coursera.org/learn/building-resilient-streaming-systems-gcp-jp","[]","","Building Resilient Streaming Systems on Google Cloud Platform 日本語版"
"1574262978-1281","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=20&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Developing Industrial Internet of ThingsUniversity of Colorado BoulderSPECIALIZATION4.4(61)3.8kstudentsIntermediate LevelIntermediate","https://www.coursera.org/specializations/developing-industrial-iot","[{""skills"":""best security practices""},{""skills"":""machine learning and big data analytics""},{""skills"":""leading platforms for IIoT development""},{""skills"":""operating systems in IIoT deployments""},{""skills"":""wireless protocols""}]","","Developing Industrial Internet of Things Specialization"
"1574263111-1319","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=16&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Data Science EthicsUniversity of MichiganCOURSE4.6(112)4.4kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/data-science-ethics","[]","","Data Science Ethics"
"1574262761-1222","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=26&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Data MiningUniversity of Illinois at Urbana-ChampaignSPECIALIZATION4.4(1,651)130kstudentsIntermediate LevelIntermediate","https://www.coursera.org/specializations/data-mining","[{""skills"":""Data Clustering Algorithms""},{""skills"":""Text Mining""},{""skills"":""Data Visualization (DataViz)""},{""skills"":""Data Mining""}]","","Data Mining  Specialization"
