web-scraper-order,web-scraper-start-url,course_link,course_link-href,skills,description,title
"1574267133-1750","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=19&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Seguridad agroalimentariaUniversidad Nacional Autónoma de MéxicoCOURSE4.7(335)17kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/seguridad-alimentaria","[]","","Seguridad agroalimentaria"
"1574267177-1763","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=18&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Cities are back in town : sociología urbana para un mundo globalizadoSciences PoCOURSE4.7(39)5kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/desarrollo-urbano","[]","","Cities are back in town : sociología urbana para un mundo globalizado"
"1574267204-1770","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=17&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Understanding Terrorism and the Terrorist ThreatUniversity of Maryland, College ParkCOURSE4.7(223)10kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/understandingterror","[]","","Understanding Terrorism and the Terrorist Threat"
"1574267840-1872","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=6&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Bayesian StatisticsDuke UniversityCOURSE3.9(603)51kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/bayesian","[{""skills"":""Bayesian Statistics""},{""skills"":""Bayesian Linear Regression""},{""skills"":""Bayesian Inference""},{""skills"":""R Programming""}]","","Bayesian Statistics"
"1574267967-1899","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=3&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Introduction to Computer Vision with Watson and OpenCVIBMCOURSE4.5(153)3.1kstudentsBeginner LevelBeginner","https://www.coursera.org/learn/introduction-computer-vision-watson-opencv","[{""skills"":""Artificial Intelligence (AI)""},{""skills"":""Opencv""},{""skills"":""Computer Vision""},{""skills"":""watson""}]","null","Introduction to Computer Vision with Watson and OpenCV"
"1574267702-1831","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=10&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Functional Programming in ScalaÉcole Polytechnique Fédérale de LausanneSPECIALIZATION4.6(8,582)210kstudentsIntermediate LevelIntermediate","https://www.coursera.org/specializations/scala","[{""skills"":""Scala Programming""},{""skills"":""Parallel Computing""},{""skills"":""Apache Spark""},{""skills"":""Functional Programming""}]","","Functional Programming in Scala Specialization"
"1574267296-1795","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=15&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Planning & Design of Sanitation Systems and TechnologiesÉcole Polytechnique Fédérale de LausanneCOURSE4.7(538)16kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/sanitation","[{""skills"":""Urban Planning""},{""skills"":""Environmental Protection""},{""skills"":""Engineering Design""},{""skills"":""Wastewater Engineering""}]","","Planning & Design of Sanitation Systems and Technologies"
"1574267251-1782","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=16&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Guided Tour of Machine Learning in FinanceNew York University Tandon School of EngineeringCOURSE3.8(405)17kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/guided-tour-machine-learning-finance","[]","","Guided Tour of Machine Learning in Finance"
"1574267283-1791","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=15&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Composición algorítmica en SupercolliderUniversidad Nacional Autónoma de MéxicoCOURSE4.7(11)Intermediate LevelIntermediate","https://www.coursera.org/learn/composicion-algoritmica-supercollider","[]","","Composición algorítmica en Supercollider"
"1574267818-1865","https://www.coursera.org/search?query=introduction%20to%20data%20science&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B0%5D=Beginner&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B1%5D=Intermediate&indices%5Bprod_all_products_term_optimization%5D%5BrefinementList%5D%5BproductDifficultyLevel%5D%5B2%5D=Mixed&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=6&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","AlgorithmsStanford UniversitySPECIALIZATION4.8(3,457)120kstudentsIntermediate LevelIntermediate","https://www.coursera.org/specializations/algorithms","[{""skills"":""Algorithms""},{""skills"":""Dynamic Programming""},{""skills"":""Greedy Algorithm""},{""skills"":""Divide And Conquer Algorithms""}]","","Algorithms Specialization"
